step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,13.169425578717059,0,0.0,0.9581923669752395,0,0.0
10.0,0,0.0,0.0,11.646207699281634,0,0.0,0.8524434660826955,0,0.0
15.0,7,13.0,0.7222222222222222,5.668672584899084,7,13.0,0.3428645112919032,7,13.0
20.0,10,61.0,3.388888888888889,5.91116619368808,10,61.0,0.3391876687013197,10,61.0
25.0,9,72.0,3.272727272727273,4.634785092783671,9,88.0,0.32092528207979043,9,88.0
30.0,12,128.0,5.818181818181818,5.074484747646101,12,128.0,0.23907094704516008,12,128.0
35.0,16,194.0,7.461538461538462,4.365572905695816,16,194.0,0.21454899740171965,16,194.0
40.0,18,278.0,9.586206896551724,4.081611760574995,18,278.0,0.2861809282564858,18,278.0
45.0,22,377.0,11.78125,3.702766895092515,22,377.0,0.27902443781126984,22,377.0
50.0,24,492.0,14.470588235294118,2.965177758629269,24,492.0,0.1532183086398308,24,492.0
55.0,28,624.0,16.42105263157895,3.3804676767320188,28,624.0,0.1605654782042509,28,624.0
60.0,28,764.0,20.64864864864865,1.0957076144882865,28,764.0,0.012515019029749084,28,764.0
65.0,34,925.0,23.125,1.799024389243454,34,925.0,0.1322224655807659,34,925.0
70.0,30,780.0,19.5,0.612235160401872,30,977.0,0.02487110946753247,30,977.0
75.0,24,554.0,10.653846153846153,4.972334826478205,24,915.0,0.28830185270576153,24,915.0
80.0,24,505.0,9.711538461538462,4.07087769065217,24,1029.0,0.21058006899295667,24,1029.0
85.0,23,554.0,10.25925925925926,2.9202558127275506,23,1136.0,0.1492811188538432,23,1136.0
90.0,27,635.0,12.211538461538462,2.051950753966655,27,1165.0,0.09761240196754002,27,1165.0
95.0,24,702.0,13.0,3.0164905270888926,24,1026.0,0.10858875087035397,24,1026.0
100.0,18,352.0,6.285714285714286,3.7299245171769475,18,974.0,0.13326473774347236,18,974.0
105.0,12,99.0,1.9038461538461537,3.67564073291048,12,776.0,0.14822662919795396,12,776.0
110.0,16,78.0,1.3448275862068966,4.120832813848205,16,795.0,0.22263738561124424,16,795.0
115.0,30,200.0,3.5714285714285716,3.223932330069846,30,877.0,0.1511498632670285,30,877.0
120.0,40,380.0,6.909090909090909,1.5384763878730432,40,1057.0,0.06637503951830029,40,1057.0
125.0,47,600.0,10.714285714285714,0.7114697915045688,47,1277.0,0.0507232618035121,47,1277.0
130.0,48,687.0,11.844827586206897,0.37533970701505,48,1398.0,0.013511515379169153,48,1398.0
135.0,42,677.0,11.283333333333333,2.165235172150424,42,1402.0,0.07368002823386015,42,1402.0
140.0,38,691.0,11.516666666666667,1.964384370312501,38,1594.0,0.05598973596817289,38,1594.0
145.0,34,673.0,10.85483870967742,2.416669807500235,34,1774.0,0.1493252212812002,34,1774.0
150.0,30,539.0,8.693548387096774,2.570924538460352,30,1761.0,0.17059519864589212,30,1761.0
155.0,32,362.0,5.484848484848484,2.394642053460689,32,1627.0,0.0970122964546017,32,1627.0
160.0,35,352.0,5.176470588235294,2.9248621751218122,35,1611.0,0.10236245903252107,35,1611.0
