step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,13.67748923495897,0,0.0,0.9743122475168793,0,0.0,0.9734032850360821,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9768737954449984,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9731792159287007,0,0.0,0.9747694769124369,0,0.0,0.9746592064493431,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9757193207322298,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,13.185764200480808,0,0.0,0.9166595829650575,0,0.0,0.9688561911853275,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9012998652792952,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9623720913879341,0,0.0,0.9628751905651614,0,0.0,0.9613502636100326,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9697050287517475,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,12.1187389690644,0,0.0,0.8276754509039543,0,0.0,0.877834333469003,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9775707501160337,0,0.0,0.7745484846985943,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9636309589050387,0,0.0,0.9443353209967036,0,0.0,0.9754906306080655,0,0.0,0.9574056137099388,0,0.0,0.9751715343771732,0,0.0,0.9768847074299964,0,0.0,0.5841559028347827,0,0.0,1.0,0,0.0
20.0,2,6.0,0.10714285714285714,11.870346821172232,2,6.0,0.60473878864477,0,0.0,0.9574668993735875,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9366900272294434,0,0.0,0.9864583335418198,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9451195528504948,0,0.0,0.9580811451466347,0,0.0,0.9200999883139869,0,0.0,0.9470301020032185,0,0.0,0.9752664265348181,0,0.0,0.7835505493087956,0,0.0,0.767688856308576,0,1.0,0.43893786571380095,2,7.0
25.0,2,4.0,0.05555555555555555,11.428813048545095,0,3.0,0.6885507413633185,0,0.0,0.8518451259531499,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9485744114064172,0,0.0,0.6952326920978417,0,0.0,1.0,0,0.0,1.0,1,1.0,0.7015241515564892,0,0.0,0.8052716927209804,0,4.0,0.8126022615469836,0,0.0,0.8893961250606316,0,0.0,0.9233360396037458,1,3.0,0.7181566569752701,0,0.0,0.9532300154811861,0,3.0,0.9319463006717321,2,14.0
30.0,10,26.0,0.325,9.759966270864698,2,4.0,0.7145534508155057,1,1.0,0.5935266127886099,0,0.0,0.9213720888288645,0,0.0,1.0,0,0.0,0.9565313330577719,2,6.0,0.5191875976121798,0,0.0,1.0,0,0.0,1.0,3,10.0,0.4319880355357799,2,5.0,0.5275362418897339,0,4.0,0.7198139791490127,0,0.0,0.9112512333229459,0,0.0,0.9539187027158911,0,0.0,0.7511532153782325,0,0.0,0.9480434187718334,0,2.0,0.8646043271501646,10,32.0
35.0,5,18.0,0.1875,9.67306986508347,0,0.0,0.6702874830887224,2,11.0,0.5028907023383299,0,0.0,0.9061538265240132,0,2.0,0.9410700879856385,0,0.0,0.9392569330162075,0,2.0,0.5687841935064003,0,4.0,0.4229374224869823,0,0.0,1.0,0,7.0,0.667196703230479,0,2.0,0.6180209988297776,3,15.0,0.704096445799662,0,0.0,0.5051044219811757,0,4.0,0.6515267989137651,0,4.0,0.40239465258615614,0,0.0,0.7372613040010397,0,0.0,0.939657414224428,5,51.0
40.0,6,17.0,0.15178571428571427,9.874264571337374,1,5.0,0.6936277494270621,0,9.0,0.7286523809393081,1,1.0,0.7093612129837052,0,2.0,0.8832925554583705,0,0.0,0.9619201389395172,0,0.0,0.8582132302477117,0,4.0,0.8673482598091339,0,0.0,1.0,0,0.0,0.8624008418899867,0,0.0,0.9475967743402716,0,9.0,0.42487646819130326,0,4.0,0.3590747893056703,2,7.0,0.601342363546,0,4.0,0.8648745205256425,2,8.0,0.5680640266481116,0,0.0,0.8341117367306566,6,53.0
45.0,14,56.0,0.4666666666666667,9.87244392643717,4,21.0,0.5817054488581449,0,4.0,0.9012395720761621,3,13.0,0.4634264673380732,2,6.0,0.3876621809070376,0,0.0,0.9520887303681747,0,0.0,0.8719614299378111,0,4.0,0.9215054077525774,0,0.0,1.0,0,0.0,0.710909396246154,0,0.0,0.7798870983288625,5,23.0,0.30232134027612767,0,8.0,0.8388780467048963,0,4.0,0.8892313295945604,0,6.0,0.8615515760724668,0,2.0,0.6532378637170889,0,4.0,0.4299750071426922,14,95.0
